Adana;40;37.00;35.16
Adapazari / Sakarya;0;40.48;30.25
Afyon;0;38.45;30.33
Afyonkarahisar / Afyon;0;38.45;30.33
Agri;0;39.44;43.03
Agri Dagi;0;39.50;44.15
Agri Karakose / Agri;0;39.44;43.03
Akhisar;28;38.56;27.48
Aksaray;0;38.25;34.02
Aksehir;0;38.18;31.30
Aksehir Golu;0;38.30;31.25
Ala Dag ;0;37.44;35.09
Alacam Daglan;0;39.18;28.49
Alanya ;0;36.38;32.00
Alasehir;0;38.23;28.30
Aliaga;30;38.47;26.59
Alucra;0;40.22;38.47
Amasya;0;40.40;35.50
Anadolu;0;39.00;30.00
Anamur;35;36.08;32.58
Anatolia/Anadolu;0;39.00;30.00
Ankara;0;39.57;32.54
Antakya;40;36.14;36.10
Antalya;30;36.52;30.45
Antalya Korfezi;0;36.15;31.30
Arapgir;0;39.05;38.30
Ararat, Mt./Agri Dagi;0;39.50;44.15
Arga;0;38.21;37.59
Artvin;0;41.14;41.44
Ataturk Barajl;0;37.28;38.30
Avanos;0;38.43;34.51
Aydin;0;37.51;27.51
Aydin;0;37.50;28.00
Ayvacik;0;39.36;26.24
Ayvalik;0;39.20;26.46
Baba Burnu;0;39.29;26.02
Babaeski;0;41.26;27.06
Bafra;0;41.34;35.54
Balikesir;0;39.39;27.53
Balya;0;39.4;27.35
Bandirma;0;40.20;28.00
Batman;0;37.55;41.05
Bayindir;0;38.13;27.39
Baykan;0;38.07;41.44
Bayramic;0;39.48;26.36
Bergama;0;39.08;27.11
Besni;0;37.41;37.52
Beypazari;0;40.10;31.56
Beysehir Golu;0;37.41;31.33
Biga;0;40.13;27.14
Bigadic;0;39.22;28.07
Bilecik;0;40.05;30.05
Bingol;0;38.53;40.29
Birecik;0;37.02;38.00
Bitlis;0;38.20;42.03
Bodrum;0;37.03;27.30
Bogal / Solhan;0;38.57;41.03
Bolu;0;40.45;31.35
Bolvadin;0;38.45;31.04
Bosporus / Istanbul Bogazi;0;41.10;29.10
Boz Daglari;0;38.20;28.00
Bozburun;0;36.43;28.04
Bozcaada;0;39.49;26.03
Bozdogan;0;37.40;28.17
Buldan;0;38.02;28.50
Burdur;0;37.45;30.17
Burthaniye;0;39.30;26.58
Bursa;0;40.15;29.05
